label,value
流量系数,
坝顶高度,
来流量,
初始水位,
溃口初始底部高程,
孔隙率,
溃口初始底部宽度,
d30,
d50,
d90,
初始背水坡倾角,
最终背水坡倾角,
初始迎水坡倾角,
残余坝高,
坝体底部高程,
坝体底部长度,
坝体顶部长度,
循环次数,
黏聚力,
时间步长,
跌落系数m,
流体密度,
土壤密度,
内摩擦角,
跌落系数m,
双曲线参数a,
双曲线参数b,
运动粘度,
